grouping,group,metric,n,mean,ci_low,ci_high
overall,all_samples,finalAttentionScore,41,69.54398932112021,67.89753609604446,71.19044254619595
overall,all_samples,blinkScore,41,85.98480238136409,85.18589527307735,86.78370948965083
overall,all_samples,headScore,41,95.50927884422596,94.69705191071884,96.32150577773308
overall,all_samples,gazeScore,41,3.7025379462978205,3.421327517085431,3.98374837551021
overall,all_samples,fatigueScore,41,10.926530370018632,10.100367800282887,11.752692939754377
overall,all_samples,bpm,41,13.951219512195122,12.338753586333153,15.56368543805709
overall,all_samples,fusionConfidence,41,69.94493966782926,68.69848492039372,71.1913944152648
