timestamp,attentionScore,attentionState,blinkScore,blinkConfidence,fatigueScore,fatigueConfidence,attentionDriftScore,attentionDriftTrend,bpm,ibiMean,ibiStd,blinkVariability,headScore,headConfidence,pitch,yaw,roll,headDirection,gazeScore,gazeConfidence,gazeDirection,finalAttentionScore,fusionConfidence
2026-06-16T18:02:14.323Z,63.31896244185696,Medium,78.04557330349105,84.47777777777777,17.358969009259116,1,82.64103099074089,Stable,2,6826.590909090909,20586.15809151888,3.0155839665307145,92.86733766452352,70,-1.4190119200729852,-1.59530013116479,0.7160452917888245,Forward,5.690792747955919,51.2875193342137,Up,63.31896244185696,68.58843237066382
2026-06-16T18:02:19.496Z,63.367720159635844,Medium,80.18748075864926,85.43333333333334,14.665106351719936,1,85.33489364828006,Stable,5,6299.72,19385.365159356683,3.077178852291321,94.65126050420169,70,0.23895922342202702,0.16034389359322532,0.29317912033607696,Forward,5.213388611144982,53.42907915883832,Up,63.367720159635844,69.62080416405722
2026-06-16T18:02:24.587Z,75.27884479949854,High,83.83781751844606,86.38888888888889,11.322323118798572,1,88.67767688120142,Stable,9,5600.827586206897,18088.03671142122,3.229529285273207,93.78704919688857,70,6.891882002075804,-7.044650242648007,0.955413850742262,Forward,5.076809379878434,28.987399565750398,Rejected,75.27884479949854,61.792096151546424
2026-06-16T18:02:29.426Z,63.929156753099285,Medium,83.89834987062949,87.34444444444445,11.254378403520903,1,88.7456215964791,Improving,9,5600.827586206897,18088.03671142122,3.229529285273207,92.93560833404786,70,7.319078582065432,1.880743039851974,-2.4718408267886236,Forward,4.920042143851977,54.056984411215296,Up,63.929156753099285,70.46714295188657
2026-06-16T18:02:34.357Z,64.55482266513982,Medium,83.18169531683185,88.3,12.450274743047295,1,87.54972525695271,Improving,10,5774.766666666666,17808.665277860917,3.083876164323104,93.65053978408636,70,-6.513923605458984,-4.1594647784720475,-3.463424224657606,Forward,4.7420704506998925,52.94257820496341,Up,64.55482266513982,70.41419273498781
2026-06-16T18:02:39.578Z,75.71682711873183,High,83.75384545931621,89.25555555555556,11.809034617438098,1,88.1909653825619,Improving,10,5774.766666666666,17808.665277860917,3.083876164323104,93.69416361416361,70,-2.3019148552417206,-46.477538211685165,-9.951408994133162,Left,4.620237799663439,27.789829450361058,Rejected,75.71682711873183,62.34846166863887
2026-06-16T18:02:44.499Z,66.77629436084428,Medium,87.27868806444799,90.21111111111111,7.8105280718712695,1,92.18947192812873,Improving,13,5590,17017.391809557656,3.0442561376668436,93.23444205852698,70,-1.6506315796769542,0.15522015749294926,1.0694042984898857,Forward,4.518870729580858,51.880585066214124,Up,66.77629436084428,70.6972320591084
2026-06-16T18:02:49.435Z,78.75345435187943,High,89.4096274022713,91.16666666666667,6.307338728843204,1,93.6926612711568,Improving,14,5474.64705882353,16778.35901476583,3.064738025024649,93.726082473153,70,-3.2270647737210263,-3.842294560511962,-3.3093866679372708,Forward,4.371553308823529,27.151386514678034,Up,78.75345435187943,62.77268439378157
2026-06-16T18:02:54.424Z,69.82756504450897,Medium,88.63349953675043,92.12222222222222,7.651883283722805,1,92.34811671627719,Improving,15,5580.228571428572,16548.386830462125,2.965539246043041,94.11641835581986,70,1.0521494561391802,-0.47917191636049883,-0.9953544366706302,Forward,4.267371388301621,48.54901819620615,Up,69.82756504450897,70.22374680614278
2026-06-16T18:02:59.461Z,78.0420138694185,High,87.73980386580212,93.07777777777778,7.652836164995158,1,92.34716383500484,Improving,17,5350.378378378378,16123.618538521334,3.013547341563564,94.30417812491292,70,0.3789145140229686,32.017936478564316,2.3157149439646623,Right,4.174068844889625,27.63039149695881,Rejected,78.0420138694185,63.569389758245535
