attentionState,attentionScore_count,attentionScore_mean,attentionScore_std,blinkScore_count,blinkScore_mean,blinkScore_std,blinkConfidence_count,blinkConfidence_mean,blinkConfidence_std,fatigueScore_count,fatigueScore_mean,fatigueScore_std,fatigueConfidence_count,fatigueConfidence_mean,fatigueConfidence_std,attentionDriftScore_count,attentionDriftScore_mean,attentionDriftScore_std,bpm_count,bpm_mean,bpm_std,ibiMean_count,ibiMean_mean,ibiMean_std,ibiStd_count,ibiStd_mean,ibiStd_std,blinkVariability_count,blinkVariability_mean,blinkVariability_std,headScore_count,headScore_mean,headScore_std,headConfidence_count,headConfidence_mean,headConfidence_std,pitch_count,pitch_mean,pitch_std,yaw_count,yaw_mean,yaw_std,roll_count,roll_mean,roll_std,gazeScore_count,gazeScore_mean,gazeScore_std,gazeConfidence_count,gazeConfidence_mean,gazeConfidence_std,finalAttentionScore_count,finalAttentionScore_mean,finalAttentionScore_std,fusionConfidence_count,fusionConfidence_mean,fusionConfidence_std
High,14,76.14131543218737,2.692112098434721,14,86.70742791604589,1.9084404384643583,14,93.79126984126984,2.933748282523962,14,10.074345146735132,2.243284881007851,14,1.0,0.0,14,89.92565485326487,2.2432848810078525,14,14.5,4.450583367120799,14,5056.545967347421,395.1946988095671,14,14707.036573132535,1949.0825688992725,14,2.8988199546342313,0.17982736386500087,14,95.14823838362925,2.527404025233155,14,70.0,0.0,14,1.308803384039241,3.5509323103140686,14,-10.21362069873183,25.80921355898899,14,-2.929569680574378,7.183718363169073,14,3.792153131453951,0.7866490849601656,14,32.132346019728786,7.388116966305895,14,76.14131543218737,2.692112098434721,14,65.30787195366621,2.969196248265057
Medium,27,66.12315355982612,1.6273199537824576,27,85.61010765967721,2.758240998338523,27,93.9506172839506,3.5452606478361073,27,11.368404189498964,2.7257903839265,27,1.0,0.0,27,88.63159581050104,2.7257903839265003,27,13.666666666666666,5.477225575051661,27,5149.503601716486,635.5934884676315,27,14515.690669978238,2296.0491470672055,27,2.8169041158244994,0.22328440820522083,27,95.69648500897983,2.6242825240673593,27,70.0,0.0,27,-0.10399877710908771,2.1958384694069024,27,-0.028440315433914638,1.3434301712235055,27,-0.27733597326441906,1.9813836255308468,27,3.656070813253901,0.951405850951524,27,53.097418163790834,1.9039539628185316,27,66.12315355982612,1.6273199537824576,27,72.34934514924714,1.4148377004973016
