headDirection,attentionScore_count,attentionScore_mean,attentionScore_std,blinkScore_count,blinkScore_mean,blinkScore_std,blinkConfidence_count,blinkConfidence_mean,blinkConfidence_std,fatigueScore_count,fatigueScore_mean,fatigueScore_std,fatigueConfidence_count,fatigueConfidence_mean,fatigueConfidence_std,attentionDriftScore_count,attentionDriftScore_mean,attentionDriftScore_std,bpm_count,bpm_mean,bpm_std,ibiMean_count,ibiMean_mean,ibiMean_std,ibiStd_count,ibiStd_mean,ibiStd_std,blinkVariability_count,blinkVariability_mean,blinkVariability_std,headScore_count,headScore_mean,headScore_std,headConfidence_count,headConfidence_mean,headConfidence_std,pitch_count,pitch_mean,pitch_std,yaw_count,yaw_mean,yaw_std,roll_count,roll_mean,roll_std,gazeScore_count,gazeScore_mean,gazeScore_std,gazeConfidence_count,gazeConfidence_mean,gazeConfidence_std,finalAttentionScore_count,finalAttentionScore_mean,finalAttentionScore_std,fusionConfidence_count,fusionConfidence_mean,fusionConfidence_std
Forward,37,68.69823922144401,4.7525942022043495,37,85.88406098448189,2.5765358178712603,37,94.01321321321322,3.397533840767763,37,11.116102601554415,2.638001365551481,37,1.0,0.0,37,88.88389739844558,2.6380013655514825,37,13.864864864864865,5.276584344283937,37,5093.5142155870835,579.8922267396653,37,14428.77696119487,2190.662559009855,37,2.8291876083818734,0.21531038830026408,37,95.7020085770562,2.6198651196315903,37,70.0,0.0,37,0.09163267238985705,2.349079757418588,37,-0.33686645593462916,1.7457792282358513,37,-0.23546908441007505,1.7981638002024096,37,3.66030828220355,0.9213491941474895,37,47.904877406605586,9.703724115476398,37,68.69823922144401,4.7525942022043495,37,70.6393635399396,3.4915974769645493
Left,3,77.14223236769365,1.2948000764581853,3,86.64227911476519,2.501474149457561,3,92.72592592592594,3.0060501407261486,3,9.67970424941845,1.8440541917546835,3,1.0,0.0,3,90.32029575058156,1.844054191754682,3,14.0,4.0,3,5339.278811369509,377.1435457269403,3,15944.598003512147,1614.3296139492527,3,2.982133880149282,0.08811140273358577,3,93.53397904575736,1.2738706980652261,3,70.0,0.0,3,3.915319000718776,5.850587385682099,3,-54.43748530264812,8.292037296580748,3,-14.03513520899083,9.497557718948366,3,4.066193503929889,0.5024698047603186,3,27.790759719063335,0.10630694728734504,3,77.14223236769365,1.2948000764581853,3,63.505561881663084,1.002191403474993
Right,1,78.0420138694185,,1,87.73980386580212,,1,93.07777777777778,,1,7.652836164995158,,1,1.0,,1,92.34716383500484,,1,17.0,,1,5350.378378378378,,1,16123.618538521334,,1,3.013547341563564,,1,94.30417812491292,,1,70.0,,1,0.3789145140229686,,1,32.01793647856432,,1,2.3157149439646623,,1,4.174068844889625,,1,27.63039149695881,,1,78.0420138694185,,1,63.569389758245535,
